rank,feature_id,token,all_mean_base,all_mean_chat,all_mean_diff,all_mean_ratio,model_type,sae_layer,sae_trainer
21,54240,endheader,0.0,0.33564063906669617,0.33564063906669617,inf,llama,15,32x
25,64921,newline,0.023093750700354576,0.35109373927116394,0.3279999792575836,15.202976070308637,llama,15,32x
15,82964,asst,0.0,0.3276093602180481,0.3276093602180481,inf,llama,15,32x
26,18091,newline,0.09814062714576721,0.42531248927116394,0.32717186212539673,4.3337046199985245,llama,15,32x
16,49527,asst,0.0,0.32256248593330383,0.32256248593330383,inf,llama,15,32x
17,96761,asst,0.0,0.32124999165534973,0.32124999165534973,inf,llama,15,32x
18,108350,asst,0.05182812362909317,0.3686484396457672,0.31682032346725464,7.11290345535161,llama,15,32x
27,65078,newline,0.041062500327825546,0.35737499594688416,0.3163124918937683,8.703196178843328,llama,15,32x
19,92801,asst,6.907562732696533,7.222671985626221,0.3151092529296875,1.0456180081344955,llama,15,32x
28,108350,newline,0.03654687479138374,0.3461250066757202,0.3095781207084656,9.470714217055908,llama,15,32x
29,11748,newline,0.0,0.3080781102180481,0.3080781102180481,inf,llama,15,32x
22,8295,endheader,0.0,0.30421093106269836,0.30421093106269836,inf,llama,15,32x
30,13912,newline,0.3082890510559082,0.5992968678474426,0.2910078167915344,1.943944703176501,llama,15,32x
20,43660,asst,0.0,0.2877265512943268,0.2877265512943268,inf,llama,15,32x
21,59098,asst,0.0,0.28725001215934753,0.28725001215934753,inf,llama,15,32x
23,4538,endheader,0.0,0.28535938262939453,0.28535938262939453,inf,llama,15,32x
24,49527,endheader,0.0,0.2851249873638153,0.2851249873638153,inf,llama,15,32x
22,129143,asst,0.0,0.28075000643730164,0.28075000643730164,inf,llama,15,32x
31,8064,newline,0.0,0.2729218602180481,0.2729218602180481,inf,llama,15,32x
23,8127,asst,0.004515625070780516,0.26615625619888306,0.26164063811302185,58.9411769194732,llama,15,32x
25,52794,endheader,0.0,0.2609843611717224,0.2609843611717224,inf,llama,15,32x
26,68232,endheader,0.0,0.2561953067779541,0.2561953067779541,inf,llama,15,32x
32,111573,newline,0.0,0.2506406307220459,0.2506406307220459,inf,llama,15,32x
27,2404,endheader,0.0,0.24940624833106995,0.24940624833106995,inf,llama,15,32x
24,111573,asst,0.0,0.2488437443971634,0.2488437443971634,inf,llama,15,32x
28,1170,endheader,0.0,0.24824999272823334,0.24824999272823334,inf,llama,15,32x
33,87593,newline,0.0,0.2461874932050705,0.2461874932050705,inf,llama,15,32x
34,1170,newline,0.1816718727350235,0.4245312511920929,0.2428593784570694,2.3368023062727525,llama,15,32x
25,88633,asst,0.0,0.22578905522823334,0.22578905522823334,inf,llama,15,32x
29,4680,endheader,0.06881249696016312,0.29296875,0.22415626049041748,4.257493376088434,llama,15,32x
35,82169,newline,0.0,0.22343750298023224,0.22343750298023224,inf,llama,15,32x
36,33209,newline,0.05324999988079071,0.27501562237739563,0.22176562249660492,5.164612638367426,llama,15,32x
26,90272,asst,0.0,0.21675781905651093,0.21675781905651093,inf,llama,15,32x
27,35701,asst,0.04621874913573265,0.26121094822883606,0.2149921953678131,5.6516230558669225,llama,15,32x
30,49449,endheader,0.014156250283122063,0.22359375655651093,0.2094375044107437,15.79470213401729,llama,15,32x
