rank,feature_id,token,sparsity_base,sparsity_chat,sparsity_diff,link
48,58208,newline,0.10599999874830246,0.0,-0.10599999874830246,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/58208
100,1200,endheader,0.10400000214576721,0.0,-0.10400000214576721,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/1200
50,70209,newline,0.10400000214576721,0.0,-0.10400000214576721,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/70209
49,92174,newline,0.10700000077486038,0.003000000026077032,-0.10400000214576721,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/92174
70,104000,asst,0.10499999672174454,0.0010000000474974513,-0.10399999469518661,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/104000
51,17211,newline,0.10300000011920929,0.0,-0.10300000011920929,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/17211
72,81158,asst,0.10000000149011612,0.0,-0.10000000149011612,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/81158
52,128609,newline,0.10000000149011612,0.0,-0.10000000149011612,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/128609
71,30416,asst,0.10100000351667404,0.0010000000474974513,-0.10000000149011612,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/30416
73,99421,asst,0.09799999743700027,0.0,-0.09799999743700027,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/99421
74,10231,asst,0.09700000286102295,0.0,-0.09700000286102295,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/10231
53,48828,newline,0.0949999988079071,0.0,-0.0949999988079071,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/48828
54,14650,newline,0.09399999678134918,0.0,-0.09399999678134918,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/14650
55,121571,newline,0.09099999815225601,0.0,-0.09099999815225601,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/121571
56,41846,newline,0.09000000357627869,0.0,-0.09000000357627869,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/41846
75,110524,asst,0.08900000154972076,0.0,-0.08900000154972076,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/110524
57,57900,newline,0.08699999749660492,0.0,-0.08699999749660492,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/57900
76,4031,asst,0.0860000029206276,0.0,-0.0860000029206276,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/4031
58,63343,newline,0.08699999749660492,0.0010000000474974513,-0.085999995470047,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/63343
59,122342,newline,0.08500000089406967,0.0,-0.08500000089406967,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/122342
60,92665,newline,0.08299999684095383,0.0,-0.08299999684095383,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/92665
77,84556,asst,0.9760000109672546,0.8949999809265137,-0.08100003004074097,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/84556
78,7484,asst,0.07900000363588333,0.0,-0.07900000363588333,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/7484
61,31486,newline,0.07800000160932541,0.0,-0.07800000160932541,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/31486
62,47673,newline,0.09099999815225601,0.014000000432133675,-0.07699999958276749,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/47673
63,30159,newline,0.9829999804496765,0.906000018119812,-0.0769999623298645,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/30159
64,96700,newline,0.07599999755620956,0.0,-0.07599999755620956,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96700
65,43355,newline,0.07900000363588333,0.004999999888241291,-0.07400000095367432,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/43355
66,121374,newline,0.0729999989271164,0.0,-0.0729999989271164,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/121374
79,122342,asst,0.07199999690055847,0.0,-0.07199999690055847,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/122342
67,17307,newline,0.07199999690055847,0.0,-0.07199999690055847,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/17307
69,103271,newline,0.07100000232458115,0.0,-0.07100000232458115,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/103271
68,18637,newline,0.07100000232458115,0.0,-0.07100000232458115,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/18637
70,5533,newline,0.07000000029802322,0.0,-0.07000000029802322,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/5533
80,126006,asst,0.0689999982714653,0.0,-0.0689999982714653,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/126006
71,105798,newline,0.0689999982714653,0.0,-0.0689999982714653,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/105798
81,90729,asst,0.06800000369548798,0.0,-0.06800000369548798,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/90729
82,38103,asst,0.06800000369548798,0.0,-0.06800000369548798,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/38103
72,21591,newline,0.06800000369548798,0.0,-0.06800000369548798,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/21591
73,25842,newline,0.06599999964237213,0.0,-0.06599999964237213,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/25842
74,46761,newline,0.06499999761581421,0.0,-0.06499999761581421,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/46761
75,74305,newline,0.06499999761581421,0.0,-0.06499999761581421,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/74305
84,61583,asst,0.06400000303983688,0.0,-0.06400000303983688,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/61583
83,87412,asst,0.06400000303983688,0.0,-0.06400000303983688,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/87412
86,111099,asst,0.06300000101327896,0.0020000000949949026,-0.061000000685453415,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/111099
85,109823,asst,0.061000000685453415,0.0,-0.061000000685453415,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/109823
76,6770,newline,0.061000000685453415,0.0,-0.061000000685453415,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/6770
77,26044,newline,0.061000000685453415,0.0010000000474974513,-0.06000000238418579,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/26044
79,15103,newline,0.05999999865889549,0.0,-0.05999999865889549,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/15103
78,17105,newline,0.05999999865889549,0.0,-0.05999999865889549,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/17105
87,24240,asst,0.5450000166893005,0.4869999885559082,-0.058000028133392334,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/24240
88,35929,asst,0.057999998331069946,0.0,-0.057999998331069946,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/35929
89,15435,asst,0.057999998331069946,0.0010000000474974513,-0.05700000002980232,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/15435
91,46874,asst,0.0560000017285347,0.0,-0.0560000017285347,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/46874
90,119663,asst,0.0560000017285347,0.0,-0.0560000017285347,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/119663
80,28783,newline,0.0560000017285347,0.0,-0.0560000017285347,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/28783
81,82334,newline,0.14900000393390656,0.09399999678134918,-0.05500000715255737,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/82334
93,52128,asst,0.054999999701976776,0.0,-0.054999999701976776,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52128
92,3958,asst,0.054999999701976776,0.0,-0.054999999701976776,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/3958
82,88907,newline,0.06199999898672104,0.007000000216066837,-0.054999999701976776,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/88907
94,21366,asst,0.05400000140070915,0.0,-0.05400000140070915,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/21366
95,104938,asst,0.05400000140070915,0.0,-0.05400000140070915,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/104938
83,59730,newline,0.05400000140070915,0.0010000000474974513,-0.05300000309944153,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/59730
84,52019,newline,0.05299999937415123,0.0,-0.05299999937415123,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52019
86,85291,newline,0.052000001072883606,0.0,-0.052000001072883606,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/85291
96,87827,asst,0.052000001072883606,0.0,-0.052000001072883606,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/87827
