rank,feature_id,token,active_mean_base,active_mean_chat,active_mean_diff,link
51,3299,newline,4.09375,0.0,-4.09375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/3299
31,45761,endheader,4.03125,0.0,-4.03125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/45761
42,114403,asst,4.0,0.0,-4.0,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/114403
41,69667,asst,4.0,0.0,-4.0,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/69667
32,69667,endheader,4.0,0.0,-4.0,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/69667
53,69667,newline,4.0,0.0,-4.0,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/69667
54,61287,newline,3.9453125,0.0,-3.9453125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/61287
55,17386,newline,3.940624952316284,0.0,-3.940624952316284,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/17386
57,91529,newline,3.9375,0.0,-3.9375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/91529
33,91529,endheader,3.9375,0.0,-3.9375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/91529
56,31237,newline,3.9375,0.0,-3.9375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/31237
43,91529,asst,3.9375,0.0,-3.9375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/91529
58,18803,newline,3.921875,0.0,-3.921875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/18803
44,18803,asst,3.921875,0.0,-3.921875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/18803
34,4686,endheader,3.916294574737549,0.0,-3.916294574737549,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/4686
59,72377,newline,3.90625,0.0,-3.90625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/72377
45,52128,asst,3.9005682468414307,0.0,-3.9005682468414307,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52128
60,116169,newline,3.875,0.0,-3.875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/116169
61,102541,newline,3.875,0.0,-3.875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/102541
46,102541,asst,3.875,0.0,-3.875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/102541
35,116169,endheader,3.875,0.0,-3.875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/116169
47,116169,asst,3.875,0.0,-3.875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/116169
48,6507,asst,3.859375,0.0,-3.859375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/6507
62,20595,newline,3.84375,0.0,-3.84375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/20595
49,36366,asst,3.828125,0.0,-3.828125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/36366
63,15612,newline,3.8203125,0.0,-3.8203125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/15612
50,73055,asst,3.8125,0.0,-3.8125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/73055
64,35467,newline,3.8125,0.0,-3.8125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/35467
51,154,asst,3.8125,0.0,-3.8125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/154
66,22329,newline,3.796875,0.0,-3.796875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/22329
65,5598,newline,3.796875,0.0,-3.796875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/5598
67,79774,newline,3.78125,0.0,-3.78125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/79774
36,8088,endheader,3.750818967819214,0.0,-3.750818967819214,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/8088
68,114574,newline,3.75,0.0,-3.75,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/114574
37,114574,endheader,3.75,0.0,-3.75,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/114574
52,114574,asst,3.75,0.0,-3.75,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/114574
53,85663,asst,3.75,0.0,-3.75,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/85663
69,2983,newline,3.75,0.0,-3.75,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/2983
54,84556,asst,6.06394100189209,2.315572738647461,-3.748368263244629,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/84556
38,21518,endheader,3.734375,0.0,-3.734375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/21518
55,21518,asst,3.734375,0.0,-3.734375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/21518
70,21518,newline,3.734375,0.0,-3.734375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/21518
71,29599,newline,3.734375,0.0,-3.734375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/29599
