rank,feature_id,token,active_mean_base,active_mean_chat,active_mean_diff,active_mean_ratio,model_type,sae_layer,sae_trainer
44,53633,asst,0.0,3.5625,3.5625,inf,llama,15,32x
85,53633,endheader,0.0,3.5625,3.5625,inf,llama,15,32x
84,67576,endheader,0.0,3.5625,3.5625,inf,llama,15,32x
43,67576,asst,0.0,3.5625,3.5625,inf,llama,15,32x
86,124668,endheader,0.0,3.5562500953674316,3.5562500953674316,inf,llama,15,32x
89,16756,endheader,0.0,3.546875,3.546875,inf,llama,15,32x
87,81012,endheader,0.0,3.546875,3.546875,inf,llama,15,32x
88,80267,endheader,0.0,3.546875,3.546875,inf,llama,15,32x
45,16756,asst,0.0,3.546875,3.546875,inf,llama,15,32x
90,24794,endheader,0.0,3.546875,3.546875,inf,llama,15,32x
46,24794,asst,0.0,3.546875,3.546875,inf,llama,15,32x
91,83893,endheader,0.0,3.5364582538604736,3.5364582538604736,inf,llama,15,32x
48,53522,asst,0.0,3.53125,3.53125,inf,llama,15,32x
92,15599,endheader,0.0,3.53125,3.53125,inf,llama,15,32x
47,15599,asst,0.0,3.53125,3.53125,inf,llama,15,32x
93,53522,endheader,0.0,3.53125,3.53125,inf,llama,15,32x
49,88633,asst,0.0,3.5279541015625,3.5279541015625,inf,llama,15,32x
94,27421,endheader,0.0,3.515625,3.515625,inf,llama,15,32x
95,5704,endheader,0.0,3.5,3.5,inf,llama,15,32x
50,72475,asst,0.0,3.5,3.5,inf,llama,15,32x
51,5704,asst,0.0,3.5,3.5,inf,llama,15,32x
96,72475,endheader,0.0,3.5,3.5,inf,llama,15,32x
97,82169,endheader,0.0,3.498842477798462,3.498842477798462,inf,llama,15,32x
98,91499,endheader,0.0,3.484375,3.484375,inf,llama,15,32x
52,91499,asst,0.0,3.484375,3.484375,inf,llama,15,32x
99,126791,endheader,0.0,3.4609375,3.4609375,inf,llama,15,32x
53,126791,asst,0.0,3.4609375,3.4609375,inf,llama,15,32x
