experiment_id,config_name,ifeval_pct_change,harm_pct_change,display_name,mmlu_pro_pct_change,eq_bench_pct_change,gsm8k_pct_change,sum_decrease
layers_38:54-p0.5,role_trait,-2.056962025316443,-58.17635817635818,"Layers 38-53, 50th",-4.2372881355932215,-0.32754242740527206,2.7227722772277114,-3.899020311087225
layers_48:56-p0.25,role_trait,-2.689873417721517,-37.91973791973791,"Layers 48-55, 25th",-2.648305084745753,-1.9335195354141472,3.341584158415831,-3.930113879465587
layers_34:50-p0.25,role_trait,-2.056962025316443,-70.84357084357084,"Layers 34-49, 25th",-2.966101694915257,-1.6617198869841956,2.7227722772277114,-3.962011329988185
layers_56:60-p0.5,role_trait,-3.7974683544303707,-55.337155337155345,"Layers 56-59, 50th",-0.7415254237288142,-2.9492672317801696,3.4653465346534547,-4.0229144752859
layers_38:46-p0.5,role_trait,-1.7405063291139131,-54.13595413595414,"Layers 38-45, 50th",-2.8601694915254168,-2.127754135223001,2.5990099009900876,-4.129420054872243
layers_40:44-p0.75,role_trait,-2.848101265822782,-17.66311766311766,"Layers 40-43, 75th",-1.271186440677965,-3.000513513922861,2.970297029702959,-4.1495041907206485
layers_46:50-p0.75,role_trait,-3.164556962025312,-47.8023478023478,"Layers 46-49, 75th",-1.694915254237292,-2.9492672317801696,3.5891089108910785,-4.219630537151695
layers_40:48-p0.5,role_trait,-1.5822784810126487,-42.66994266994267,"Layers 40-47, 50th",-3.707627118644071,-1.7781336633200413,2.8465346534653353,-4.221504609511426
layers_40:44-p0.5,role_trait,-3.3227848101265764,-27.054327054327054,"Layers 40-43, 50th",-0.9533898305084778,-3.0906800342495524,2.970297029702959,-4.396557645181648
layers_44:48-p0.75,role_trait,-3.0063291139240467,-44.63554463554463,"Layers 44-47, 75th",-1.3771186440677885,-3.000513513922861,2.970297029702959,-4.413664242211738
layers_36:52-p0.5,role_trait,-2.3734177215189876,-58.28555828555828,"Layers 36-51, 50th",-4.449152542372885,-0.08305810958096743,2.4752475247524637,-4.430380848720377
layers_48:52-p0.75,role_trait,-3.6392405063291062,-43.980343980343974,"Layers 48-51, 75th",-0.9533898305084778,-2.9913228606762217,3.094059405940583,-4.489893791573222
layers_40:56-p0.5,role_trait,-3.0063291139240467,-46.49194649194649,"Layers 40-55, 50th",-3.389830508474568,-0.575601989597442,2.4752475247524637,-4.496514087243593
layers_48:56-p0.75,role_trait,-3.481012658227842,-25.30712530712531,"Layers 48-55, 75th",-2.8601694915254168,-1.0994599650021453,2.8465346534653353,-4.5941074612900685
layers_42:58-p0.5,role_trait,-2.3734177215189876,-49.003549003549004,"Layers 42-57, 50th",-4.872881355932196,-0.12339086256325123,2.7227722772277114,-4.6469176627867235
layers_38:46-p0.75,role_trait,-3.164556962025312,-50.204750204750205,"Layers 38-45, 75th",-3.0720338983050803,-1.2678259504214444,2.8465346534653353,-4.657882157286501
layers_50:58-p0.75,role_trait,-3.0063291139240467,-45.290745290745285,"Layers 50-57, 75th",-3.389830508474568,-1.2592540739648246,2.970297029702959,-4.68511666666048
layers_48:52-p0.25,role_trait,-3.481012658227842,-42.56074256074256,"Layers 48-51, 25th",-0.3177966101694871,-4.1266480565421375,3.217821782178207,-4.70763554276126
layers_34:42-p0.75,role_trait,-2.848101265822782,-46.710346710346705,"Layers 34-41, 75th",-2.012711864406779,-2.9913228606762217,3.094059405940583,-4.7580765849652
layers_34:50-p0.5,role_trait,-2.531645569620252,-56.53835653835654,"Layers 34-49, 50th",-3.9194915254237186,-0.5903865757184171,2.227722772277216,-4.813800898485171
layers_50:58-p0.01,role_trait,-4.1139240506329005,-46.81954681954682,"Layers 50-57, 1st",-1.165254237288125,-2.7156039952278412,3.094059405940583,-4.900722877208284
layers_34:42-p0.5,role_trait,-3.7974683544303707,-54.900354900354905,"Layers 34-41, 50th",-0.8474576271186378,-3.099870687496192,2.7227722772277114,-5.022024391817489
layers_34:38-p0.25,role_trait,-3.164556962025312,-37.75593775593775,"Layers 34-37, 25th",-1.8008474576271156,-3.1201125931040536,2.970297029702959,-5.115219983053523
layers_40:48-p0.25,role_trait,-2.689873417721517,-51.35135135135135,"Layers 40-47, 25th",-2.1186440677966027,-3.056966771637652,2.5990099009900876,-5.266474356165685
layers_32:48-p0.5,role_trait,-3.3227848101265764,-55.55555555555556,"Layers 32-47, 50th",-4.343220338983046,-0.2873531442580281,2.5990099009900876,-5.354348392377563
layers_46:50-p0.25,role_trait,-4.43037974683543,-47.474747474747474,"Layers 46-49, 25th",-0.7415254237288142,-3.305072548446718,3.094059405940583,-5.3829183130703795
layers_34:38-p0.5,role_trait,-3.6392405063291062,-30.876330876330876,"Layers 34-37, 50th",-1.4830508474576285,-3.1603076228855236,2.8465346534653353,-5.436064323206923
layers_38:42-p0.25,role_trait,-2.848101265822782,-44.74474474474475,"Layers 38-41, 25th",-1.9067796610169392,-3.4517803122665938,2.7227722772277114,-5.483888961878604
layers_44:48-p0.5,role_trait,-3.955696202531636,-43.87114387114387,"Layers 44-47, 50th",-1.8008474576271156,-2.999059227963096,3.217821782178207,-5.53778110594364
layers_38:54-p0.25,role_trait,-2.689873417721517,-64.07316407316408,"Layers 38-53, 25th",-3.6016949152542312,-1.5521457567291963,2.103960396039592,-5.739753693665352
layers_36:40-p0.5,role_trait,-3.955696202531636,-35.24433524433525,"Layers 36-39, 50th",-1.9067796610169392,-2.9753849055603063,3.094059405940583,-5.743801363168298
layers_36:40-p0.25,role_trait,-4.1139240506329005,-44.63554463554463,"Layers 36-39, 25th",-1.0593220338983014,-3.1058557427404083,2.4752475247524637,-5.803854302519147
layers_56:64-p0.75,role_trait,-3.3227848101265764,-4.1223041223041115,"Layers 56-63, 75th",-2.54237288135593,-1.3616626470306747,1.3613861386138488,-5.865434199899333
layers_32:36-p0.25,role_trait,-3.3227848101265764,-51.40595140595141,"Layers 32-35, 25th",-2.54237288135593,-3.138387667779706,3.094059405940583,-5.909485953321629
layers_48:52-p0.01,role_trait,-3.955696202531636,-47.037947037947035,"Layers 48-51, 1st",-0.21186440677966356,-4.915146125352889,3.094059405940583,-5.988647328723606
layers_46:54-p0.5,role_trait,-3.0063291139240467,-45.61834561834562,"Layers 46-53, 50th",-4.343220338983046,-1.3677689315118533,2.7227722772277114,-5.994546107191233
layers_46:50-p0.01,role_trait,-3.481012658227842,-52.4979524979525,"Layers 46-49, 1st",-1.588983050847452,-4.312245034714054,3.341584158415831,-6.040656585373517
layers_46:54-p0.01,role_trait,-3.164556962025312,-58.61315861315861,"Layers 46-53, 1st",-2.8601694915254168,-3.7969634689100045,3.7128712871287024,-6.10881863533203
layers_56:64-p0.25,role_trait,-2.848101265822782,-4.340704340704336,"Layers 56-63, 25th",-3.495762711864408,-1.3945276226800867,1.6089108910890966,-6.129480709278179
