filenames,role_path_lengths,trait_path_lengths,role_max_jump,trait_max_jump,role_pc1_path_length,role_pc1_max_jump
writing_persona6_topic0,928.8302862592092,600.7494777494766,128.17790325819902,80.10494334181355,34.63279627365485,9.981589349774158
writing_persona5_topic9,1127.9112223086777,664.7549656139582,124.58209891347634,77.53338929048724,42.620785677259136,12.187467153471896
writing_persona5_topic8,1579.4111764297495,999.6620271326844,173.83513875681817,113.10673871957697,49.72619959404621,10.580559841066854
writing_persona5_topic7,1652.8345204527109,967.5624976208568,151.69927668125618,96.71432206734055,107.48777875081417,20.424195522199142
writing_persona5_topic6,1461.8345774973136,861.1304458005466,127.05133010465096,76.387703378891,33.35169048898292,5.94119355416305
writing_persona5_topic5,1128.59414910275,650.1479878172264,162.48606624596408,99.01734996446443,34.56258429545133,11.455785722082634
writing_persona5_topic4,1429.9494163432596,836.8900900378208,160.24091422690478,101.40098907906622,42.878698341196575,8.730108238169898
writing_persona5_topic3,1018.2643420825428,629.0870495312777,126.44267908716898,76.53981567235284,37.489277191879566,6.748664274821804
writing_persona5_topic2,1408.258961099417,858.2021309385708,128.82202401866826,87.03325013908085,60.50912941736482,10.840544233823636
writing_persona5_topic19,1479.751798668382,907.2382172465748,201.07546918068743,135.0918220354622,39.64891726475709,14.737064005570495
writing_persona5_topic18,2252.763495117294,1395.276915533536,164.89359421585849,103.47168747235928,45.00794196779289,18.54910999709416
writing_persona5_topic17,1684.0115946396324,993.6396600088656,163.9699372402944,110.7855304233583,26.65895204851819,8.302214074967527
writing_persona5_topic16,1511.2815813582465,899.3031649236946,150.7178099387,91.41651329976519,11.258379383808668,6.717923459476447
writing_persona5_topic15,1633.801834603778,972.2253235467724,170.80498968332856,101.54011047751358,32.40252103325395,12.229342591454046
writing_persona5_topic14,1554.5888652166796,860.3765521761339,172.53409504919713,112.77668184334064,58.373420993631335,20.501533317685144
writing_persona5_topic13,1915.4266931912189,1203.76479370091,142.13622849393832,86.22351144995486,25.68525544998715,7.650609272596582
writing_persona5_topic12,1651.8126880759378,965.5043985200904,129.69054868106699,80.65813402116154,27.366534875143856,5.453468383662056
writing_persona5_topic11,1524.3153241504638,873.1576303016165,209.64709522861315,142.8326781312611,56.24977702916018,14.01550174035086
writing_persona5_topic10,1789.7504564859285,1056.949529449764,184.01003282686983,129.21209127036568,58.973361542400845,15.646840606014017
writing_persona5_topic1,1483.3610421271164,849.1185076842143,178.84071290901332,115.00315416044835,43.87286914160842,10.235019079209355
writing_persona5_topic0,1469.43563056956,916.8552931457352,163.43338392109217,102.45783803229718,27.465690984857694,12.928017099568786
therapy_persona14_topic9,1627.5230047743912,1019.9967288938234,139.53221727522907,91.44729584411341,71.48685527782409,14.72593646167982
therapy_persona14_topic8,1835.8188879929885,1151.3222984255538,181.43416596390335,113.65090385877862,131.13180107919683,37.320710973800864
therapy_persona14_topic7,1420.17511356287,875.4654053344719,116.65164865210494,71.46352321165607,100.82700107278063,20.82012091639345
therapy_persona14_topic6,1690.8214346170232,1091.305453378622,196.22228054675548,119.29714047397871,193.72715592844804,48.61995089265702
therapy_persona14_topic5,1596.5150695347304,990.8014993801854,143.0182896780624,83.94606896445181,85.44806402325717,15.45762359423707
therapy_persona14_topic4,1417.9723785466267,902.8475341185804,159.99663882621775,103.8783036859338,78.30543462431012,25.62746884143234
therapy_persona14_topic3,1355.2747463300911,869.8917822735357,134.38560677700258,77.1830743987716,97.81870719769611,20.26052279657484
