filenames,role_path_length,trait_path_length,role_max_jump,trait_max_jump,role_pc1_path_length,role_pc1_max_jump
therapy_persona10_topic18,1131.7291751645014,744.3622944179293,133.8106540192476,92.363743621548,171.3435533372685,47.896767777695686
therapy_persona10_topic17,905.483839277198,596.8837123902241,104.77429048346275,67.32167432697126,77.6995603491699,17.428319627816105
therapy_persona10_topic16,1259.0608529669598,816.441683559942,118.07981262641373,78.2613496785454,141.89988877187935,27.19304041001921
therapy_persona10_topic15,1029.4258589379192,679.1071750419338,99.02874678037661,65.67290880361706,85.0899141804866,16.957894524725322
therapy_persona10_topic14,1082.4782478230004,694.381582339515,124.45323225904909,73.6150846139184,133.37118438727921,27.23556274969035
therapy_persona10_topic13,1173.950271348164,766.422715252241,107.24479113729593,72.97025295697638,78.82043120635235,17.996664138452026
therapy_persona10_topic12,1225.2957323633668,790.9488319005694,191.7393505907227,124.38634124761954,103.63814047120078,22.915907917560876
therapy_persona10_topic11,1175.6645021934949,773.153511995404,156.10031135881982,105.30443941700608,170.57670238990963,40.70286924653993
therapy_persona10_topic10,843.9275974386057,550.4263948687972,111.49357784981224,78.20797552243812,103.41796534894051,31.39680106812881
therapy_persona10_topic1,953.7906754917993,640.2426292158789,103.04988721742853,68.3917904199974,113.52058759660314,18.048085959056312
therapy_persona10_topic0,1150.023083447764,753.961951105763,127.9202055026199,81.89579809868852,141.57084141179038,24.435127593638846
philosophy_persona19_topic9,748.9814987164764,466.8346489343049,94.58841701441642,62.10043617666115,78.74691943414174,16.663715431462034
philosophy_persona19_topic8,1086.3954251242026,730.4533392082517,219.54971659099348,146.52532791697192,212.73264820723017,49.12796038545003
philosophy_persona19_topic7,667.5266275944682,418.24736651886826,92.3513204072985,64.64594502988139,86.51277856479516,12.891308076925284
philosophy_persona19_topic6,370.0655877093168,239.19238146885985,70.76253934431747,46.96063091755728,43.96968396922363,15.335478711828511
philosophy_persona19_topic5,774.5341906249321,494.51276427712685,100.48485612389491,65.97709217773041,125.68863085493474,24.23448336643969
philosophy_persona19_topic4,1134.0403197628905,744.6778341333654,184.6676640415109,121.43115898296323,297.0622152682501,76.7183469180011
philosophy_persona19_topic3,411.177022452672,266.596395518739,113.51190554492143,74.9922934085229,60.221369049093255,25.749134762214425
philosophy_persona19_topic2,503.13635787941325,336.77614684546995,114.6121705348874,78.42878765286812,102.48009756956066,55.34906199428289
philosophy_persona19_topic19,1089.7106008084554,732.4121923921214,171.48293791933938,116.6576250131853,238.0458004239395,55.22160243258441
philosophy_persona19_topic18,387.7112559518306,222.3480425660562,105.41698927539491,62.82895906288447,38.756848270514595,13.857496668598515
philosophy_persona19_topic17,716.5791266623407,481.88087548635184,184.87026398378435,128.22145695388556,166.8161802444417,44.36305214155343
philosophy_persona19_topic16,969.7013512550762,650.6422416751476,99.87305365279573,67.18013379111079,91.77880532809746,22.00792326882857
philosophy_persona19_topic15,761.9772201369534,493.9651218492784,114.25293333343552,76.46669055630986,162.24984942036915,39.912644924293126
philosophy_persona19_topic14,669.6857198123121,445.0751991859292,129.45485722856782,93.56372251172013,114.5421363201431,44.391920588884815
philosophy_persona19_topic13,846.1304158277562,543.6573711596596,123.80785109917569,82.57168645700965,159.7202996961131,40.15057152180722
philosophy_persona19_topic12,607.307768861635,365.239367126223,89.02738597791051,58.34251752629357,78.76652801073206,21.61702391671999
philosophy_persona19_topic11,1340.2126846489477,877.1624245894459,248.3816949561269,161.86302180470997,167.21296147274768,32.785843963008496
philosophy_persona19_topic10,625.4041610268633,391.75511172922006,112.79635466211451,78.80979017738952,103.97138679886166,29.476033702987987
philosophy_persona19_topic1,929.0709271834277,614.2554136165775,101.98195988859497,70.52680407668429,142.9915945530987,27.085275815980822
philosophy_persona19_topic0,340.12325942835884,195.42400173274962,85.09187095437944,55.76285027629586,30.011301115429816,5.10229488841636
philosophy_persona18_topic9,890.078151612931,576.3416063169491,88.96039087048234,56.796542805416436,61.76553034833103,14.170653793218072
philosophy_persona18_topic8,754.1340451594596,465.78804564089967,88.73470259853683,55.074755805134885,92.90489797879953,24.415542886641063
philosophy_persona18_topic7,807.2823750775484,512.6324878590734,98.25301348494264,67.64361275059237,98.04751232569888,29.772875739433573
philosophy_persona18_topic6,588.9352237969032,358.8038280875511,137.17534865574976,93.60090942408912,64.7010244939257,28.80369162355396
philosophy_persona18_topic5,1451.524382292883,1050.9094189252075,223.23896953221407,179.61327302437903,284.4445874016188,64.29723401863956
philosophy_persona18_topic4,741.1374776084922,471.0854063414835,77.66207667217229,53.041888472782674,73.25922656961086,13.765183638899751
philosophy_persona18_topic3,685.7058293769638,441.3580131359149,110.13026259605027,78.12391374696608,52.4129454084086,18.343404358663747
philosophy_persona18_topic2,501.1537597671341,315.9884264017758,134.27129231772525,88.002475992297,42.17535897596498,21.814948048107006
philosophy_persona18_topic19,817.1234544185368,533.6095515959903,118.77573564601333,81.22894761216152,143.79571392566484,30.26648188329912
philosophy_persona18_topic18,1094.2175797229197,746.2381508463325,104.78630669298414,72.74211891700756,170.45960501219895,29.53238270036078
philosophy_persona18_topic17,834.9482333309674,537.9204921102444,126.97967225198512,83.70345051886251,107.03200792838828,23.730435574362264
philosophy_persona18_topic16,1201.316760276618,776.1660875886784,163.8095851178863,112.62181118818839,161.79961300252953,32.551204407981416
philosophy_persona18_topic15,840.1581465702737,529.8312650355028,104.5813769064994,66.82320197279911,96.17179040163072,20.14739568542009
philosophy_persona18_topic14,592.7877663470582,352.2731102192798,80.92526833116334,50.98327062607652,19.97145672379684,4.871343829916875
philosophy_persona18_topic13,1050.314023334182,702.6680183229959,132.22504637393678,94.06226322833285,141.15541611494692,28.134117816319204
philosophy_persona18_topic12,493.996858913148,329.96995817112486,93.00145462524526,63.07609867858397,75.97459618335785,36.842580899869105
philosophy_persona18_topic11,616.9060719383957,376.39629579056526,82.27634651543323,55.31709099645652,72.54176232065043,14.33938580010079
philosophy_persona18_topic10,459.95314487758606,310.114458565953,117.83400554835876,79.23211356406934,60.51160310701056,20.986143726556527
philosophy_persona18_topic1,889.4977972220083,580.1962718279968,98.02278535842579,65.06857071609207,129.03345929394675,28.353834016039947
philosophy_persona18_topic0,724.9481141832711,461.1138644091432,115.1494128856976,77.38575644189561,69.0107437129158,32.15052660232111
philosophy_persona17_topic9,390.7944083734366,255.3559132242629,100.83533428688766,70.23479312119294,41.16571314610821,22.25561615761729
philosophy_persona17_topic8,848.3118211398405,555.7705090308447,108.60741913529641,68.95630233842384,90.01317322018984,20.244074174111475
philosophy_persona17_topic7,715.6097376621371,485.4780619027183,77.1386003718332,52.2213129457577,84.47741579983017,16.72298293216021
philosophy_persona17_topic6,352.0966027029114,213.8998502885389,80.89228782942276,50.466059832191405,16.080662610921255,4.367463571279998
philosophy_persona17_topic5,1401.5129040535492,936.7866265166473,157.0591074071154,103.68329969116907,391.02235838268433,62.406377961467136
philosophy_persona17_topic4,547.7644795356306,344.3681609516854,89.91260327094518,58.316606594628624,43.966625250962764,16.133330117792106
philosophy_persona17_topic3,753.1248965857743,486.2584692058594,87.81848306709304,59.31568506895505,157.94952986333476,34.8473615002009
philosophy_persona17_topic2,683.6424469197875,445.70660304097237,109.74807531192631,72.08205286388662,45.65131338663512,14.137244694848118
philosophy_persona17_topic19,502.9980005772999,313.66828318716426,71.49351564818332,44.23205153753489,68.60502709725134,14.832539147797297
philosophy_persona17_topic18,415.61068619506585,252.72086420271938,93.99783912592642,58.8940958167019,14.054285602928804,3.5204120165768416
